Compound ID,smiles,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,ESOL predicted log solubility in mols per litre,LogP,AromaticProportion,FluorineAtoms,ChlorineAtoms,BromineAtoms,IodineAtoms,TotalHalogenAtoms
Raffinose,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,1,504.438,11,3,8,268.68,-0.41,0.496,-7.571399999999989,0.0,0.0,0.0,0.0,0.0,0.0
hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC,1,366.718,0,0,23,0.0,-8.334,-9.702,10.388599999999993,0.0,0.0,0.0,0.0,0.0,0.0
RTI 5,CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,1,253.305,0,3,1,36.44,-3.324,-3.471,2.829600000000001,0.631578947368421,0.0,0.0,0.0,0.0,0.0
"1,1-Dichloroethane",CC(Cl)Cl,1,98.96,0,0,0,0.0,-1.29,-1.576,1.81,0.0,0.0,2.0,0.0,0.0,2.0
Sulfanilamide,Nc1ccc(cc1)S(N)(=O)=O,1,172.209,2,1,1,86.18,-1.34,-0.954,-0.08379999999999999,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
Isopropalin,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,1,309.366,0,1,8,89.52,-6.49,-5.306,4.252800000000004,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1,290.832,0,1,0,0.0,-4.64,-4.009,3.644400000000001,0.0,0.0,6.0,0.0,0.0,6.0
Isofenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,1,345.401,1,1,8,56.79,-4.194,-4.538,3.8896000000000033,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
"1,2,3-Trichlorobenzene",Clc1cccc(Cl)c1Cl,1,181.449,0,1,0,0.0,-4.0,-4.008,3.6468000000000007,0.6666666666666666,0.0,3.0,0.0,0.0,3.0
Tetrachloromethane,ClC(Cl)(Cl)Cl,1,153.823,0,0,0,0.0,-2.31,-2.607,2.5529,0.0,0.0,4.0,0.0,0.0,4.0
"3,4-Dichloronitrobenzene",O=N(=O)c1cc(Cl)c(Cl)cc1,1,192.001,0,1,1,43.14,-3.2,-3.448,2.901600000000001,0.5454545454545454,0.0,2.0,0.0,0.0,2.0
Cyclooctanol,OC1CCCCCCC1,1,128.215,1,1,0,20.23,-1.29,-2.14,2.0915999999999997,0.0,0.0,0.0,0.0,0.0,0.0
17a-Methyltestosterone,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1,302.458,1,4,0,37.3,-3.999,-4.073,4.269300000000004,0.0,0.0,0.0,0.0,0.0,0.0
Dulcin,CCOc1ccc(NC(N)=O)cc1,1,180.207,2,1,3,64.35,-2.17,-2.167,1.5758999999999999,0.46153846153846156,0.0,0.0,0.0,0.0,0.0
"trans-1,4-Dimethylcyclohexane",C/C1CCC(\C)CC1,1,112.216,0,1,0,0.0,-4.47,-3.305,2.832600000000001,0.0,0.0,0.0,0.0,0.0,0.0
"1,7-phenantroline",c1cnc2c(c1)ccc3ncccc23,2,180.21,0,3,0,25.78,-2.68,-2.994,2.7830000000000004,1.0,0.0,0.0,0.0,0.0,0.0
Methyl t-butyl ether ,COC(C)(C)C,1,88.15,0,0,0,9.23,-0.24,-0.984,1.4313,0.0,0.0,0.0,0.0,0.0,0.0
Anethole,COc1ccc(C=CC)cc1,1,148.205,0,1,2,9.23,-3.13,-3.254,2.728300000000001,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
1-Hexadecanol,CCCCCCCCCCCCCCCCO,1,242.447,1,0,14,20.23,-7.0,-4.94,5.460000000000006,0.0,0.0,0.0,0.0,0.0,0.0
uracil,O=c1cc[nH]c(=O)[nH]1 ,1,112.088,2,1,0,65.72,-1.488,-0.441,-0.9368000000000001,0.75,0.0,0.0,0.0,0.0,0.0
adenine,Nc1ncnc2nc[nH]c12 ,1,135.13,2,2,0,80.48,-2.12,-1.255,-0.0648999999999999,0.9,0.0,0.0,0.0,0.0,0.0
"2,2',3,4,5-PCB",Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,1,326.437,0,2,1,0.0,-7.21,-6.709,6.620600000000001,0.7058823529411765,0.0,5.0,0.0,0.0,5.0
Ancymidol,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,1,256.305,1,3,4,55.24,-2.596,-2.181,2.1311,0.631578947368421,0.0,0.0,0.0,0.0,0.0
Benzo(b)fluoranthene,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,2,252.316,0,5,0,0.0,-8.23,-6.007,5.640400000000003,1.0,0.0,0.0,0.0,0.0,0.0
Carbanilide,O=C(Nc1ccccc1)Nc2ccccc2,1,212.252,2,2,2,41.13,-3.15,-3.611,3.3306000000000013,0.75,0.0,0.0,0.0,0.0,0.0
phenobarbital,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,1,232.239,2,2,2,75.27,-2.322,-2.272,0.7003999999999997,0.35294117647058826,0.0,0.0,0.0,0.0,0.0
"2',3,4-PCB",Clc1ccc(cc1)c2cccc(Cl)c2Cl ,1,257.547,0,2,1,0.0,-6.29,-5.686,5.313800000000001,0.8,0.0,3.0,0.0,0.0,3.0
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,1,206.289,1,1,2,32.34,-3.536,-2.867,2.903500000000001,0.4,0.0,0.0,0.0,0.0,0.0
Azintamide,CCN(CC)C(=O)CSc1ccc(Cl)nn1,1,259.762,0,1,5,46.09,-1.716,-2.231,2.0904999999999996,0.375,0.0,1.0,0.0,0.0,1.0
"2,2-Dimethyl-1-butanol",CCC(C)(C)CO,1,102.177,1,0,2,20.23,-1.04,-1.365,1.4149,0.0,0.0,0.0,0.0,0.0,0.0
Ethyl pentanoate,CCCOC(=O)CCC,1,130.187,0,0,4,26.3,-1.75,-1.899,1.7397,0.0,0.0,0.0,0.0,0.0,0.0
"2,4,6-Trinitrotoluene",Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,1,227.132,0,1,3,129.42,-3.22,-2.606,1.7196200000000006,0.375,0.0,0.0,0.0,0.0,0.0
Bensulide,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,1,397.524,1,1,10,64.63,-4.2,-4.99,3.7726000000000024,0.2608695652173913,0.0,0.0,0.0,0.0,0.0
Cycloheptane,C1CCCCCC1,2,98.189,0,1,0,0.0,-3.51,-2.916,2.7307000000000015,0.0,0.0,0.0,0.0,0.0,0.0
Propyl formate,CCCOC=O,1,88.106,0,0,3,26.3,-0.49,-0.757,0.5694,0.0,0.0,0.0,0.0,0.0,0.0
2-Isopropyltoluene,CC(C)c1ccccc1C,1,134.222,0,1,1,0.0,-3.76,-3.585,3.118420000000002,0.6,0.0,0.0,0.0,0.0,0.0
m-Chloroaniline,Nc1cccc(Cl)c1,1,127.574,1,1,0,26.02,-1.37,-2.392,1.9222,0.75,0.0,1.0,0.0,0.0,1.0
"2,4-Dimethylpentane",CC(C)CC(C)C,1,100.205,0,0,2,0.0,-4.26,-2.938,2.6885000000000012,0.0,0.0,0.0,0.0,0.0,0.0
Dibenzofurane,o1c2ccccc2c3ccccc13,2,168.195,0,3,0,13.14,-4.6,-4.201,3.586000000000002,1.0,0.0,0.0,0.0,0.0,0.0
ethofumesate,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,1,286.349,0,2,4,61.83,-3.42,-3.184,2.0576,0.3157894736842105,0.0,0.0,0.0,0.0,0.0
Fluometuron,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,1,232.205,1,1,1,32.34,-3.43,-3.065,2.7989000000000006,0.375,3.0,0.0,0.0,0.0,3.0
Acridine,c3ccc2nc1ccccc1cc2c3,2,179.222,0,3,0,12.89,-3.67,-3.846,3.3880000000000017,1.0,0.0,0.0,0.0,0.0,0.0
Cortisone,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,1,360.45,2,4,2,91.67,-3.11,-2.893,1.9898000000000002,0.0,0.0,0.0,0.0,0.0,0.0
glucose,OCC1OC(O)C(O)C(O)C1O,1,180.156,5,1,1,110.38,0.74,0.501,-3.2214000000000005,0.0,0.0,0.0,0.0,0.0,0.0
3-Methylphenol,Cc1cccc(O)c1,1,108.14,1,1,0,20.23,-0.68,-2.313,1.7006199999999998,0.75,0.0,0.0,0.0,0.0,0.0
Indapamide,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,1,365.842,2,3,3,92.5,-3.586,-4.345,2.0834,0.5,0.0,1.0,0.0,0.0,1.0
Lovastatin,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,1,404.547,1,3,6,72.83,-6.005,-4.731,4.195500000000004,0.0,0.0,0.0,0.0,0.0,0.0
"1,4-Dinitrobenzene",O=N(=O)c1ccc(cc1)N(=O)=O,1,168.108,0,1,2,86.28,-3.39,-2.281,1.503,0.5,0.0,0.0,0.0,0.0,0.0
Reposal,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,1,262.309,2,3,2,75.27,-2.696,-2.781,1.4951999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Ethyl decanoate,CCCCCCCCCC(=O)OCC,1,200.322,0,0,9,26.3,-4.1,-3.671,3.6902000000000026,0.0,0.0,0.0,0.0,0.0,0.0
Fenuron,CN(C)C(=O)Nc1ccccc1,1,164.208,1,1,1,32.34,-1.6,-1.847,1.7801,0.5,0.0,0.0,0.0,0.0,0.0
Ethyl propyl ether,CCCOCC,1,88.15,0,0,3,9.23,-0.66,-1.072,1.4329,0.0,0.0,0.0,0.0,0.0,0.0
2-Propanol,CC(C)O,1,60.096,1,0,0,20.23,0.43,-0.261,0.38710000000000006,0.0,0.0,0.0,0.0,0.0,0.0
2-Methylnapthalene,Cc1ccc2ccccc2c1,1,142.201,0,2,0,0.0,-3.77,-3.802,3.148220000000001,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
Chlorodibromethane,ClC(Br)Br,1,208.28,0,0,0,0.0,-1.9,-2.54,2.2986000000000004,0.0,0.0,1.0,2.0,0.0,3.0
Hexestrol,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,1,270.372,2,2,5,40.46,-4.43,-4.854,4.785200000000005,0.6,0.0,0.0,0.0,0.0,0.0
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,1,330.364,0,0,9,71.06,-3.37,-3.391,2.1218000000000004,0.0,0.0,0.0,0.0,0.0,0.0
Benzylchloride,ClCc1ccccc1,1,126.586,0,1,1,0.0,-2.39,-2.887,2.4254000000000007,0.75,0.0,1.0,0.0,0.0,1.0
t-Crotonaldehyde,C/C=C/C=O,1,70.091,0,0,1,17.07,0.32,-0.604,0.7614000000000001,0.0,0.0,0.0,0.0,0.0,0.0
Chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,1,293.548,1,1,2,41.57,-3.924,-3.938,3.127600000000002,0.4,0.0,1.0,1.0,0.0,2.0
"9,10-Dimethylanthracene",Cc1c2ccccc2c(C)c3ccccc13,1,206.288,0,3,0,0.0,-6.57,-5.228,4.609840000000004,0.875,0.0,0.0,0.0,0.0,0.0
Methyl hexanoate,CCCCCC(=O)OC,1,130.187,0,0,4,26.3,-1.87,-1.899,1.7397,0.0,0.0,0.0,0.0,0.0,0.0
Dimefuron,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,1,338.795,1,2,2,80.37,-4.328,-3.831,2.8699000000000012,0.4782608695652174,0.0,1.0,0.0,0.0,1.0
p-Fluoroacetanilide,CC(=O)Nc1ccc(F)cc1,1,153.156,1,1,1,29.1,-1.78,-2.181,1.7840999999999998,0.5454545454545454,1.0,0.0,0.0,0.0,1.0
alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl ,1,269.772,0,1,6,29.54,-3.26,-3.319,2.9871000000000016,0.3333333333333333,0.0,1.0,0.0,0.0,1.0
Cyclohexene,C1CCC=CC1,2,82.146,0,1,0,0.0,-2.59,-2.16,2.1166,0.0,0.0,0.0,0.0,0.0,0.0
Hydrocortisone ,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,1,362.466,3,4,2,94.83,-3.09,-3.159,1.7815999999999996,0.0,0.0,0.0,0.0,0.0,0.0
Pyrimidine,c1cncnc1,2,80.09,0,1,0,25.78,1.1,-0.884,0.4765999999999999,1.0,0.0,0.0,0.0,0.0,0.0
p-Chloronitrobenzene,Clc1ccc(cc1)N(=O)=O,1,157.556,0,1,1,43.14,-2.92,-2.901,2.2482000000000006,0.6,0.0,1.0,0.0,0.0,1.0
Methyl propionate,CCC(=O)OC,1,88.106,0,0,1,26.3,-0.14,-0.836,0.5694,0.0,0.0,0.0,0.0,0.0,0.0
o-Chloronitrobenzene,Clc1ccccc1N(=O)=O,1,157.556,0,1,1,43.14,-2.55,-2.775,2.2481999999999998,0.6,0.0,1.0,0.0,0.0,1.0
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1,275.179,1,1,4,32.34,-4.77,-4.157,4.257200000000004,0.35294117647058826,0.0,2.0,0.0,0.0,2.0
Buthidazole,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,1,256.331,1,2,1,69.56,-1.877,-2.398,1.0257999999999998,0.29411764705882354,0.0,0.0,0.0,0.0,0.0
Nitrobenzene,O=N(=O)c1ccccc1,1,123.111,0,1,1,43.14,-1.8,-2.288,1.5948,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
Iodobenzene,Ic1ccccc1,1,204.01,0,1,0,0.0,-3.01,-3.8,2.2912,0.8571428571428571,0.0,0.0,0.0,1.0,1.0
Metolazone,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,1,365.842,2,3,2,92.5,-3.78,-3.777,2.7141199999999994,0.5,0.0,1.0,0.0,0.0,1.0
Methocarbamol,COc1ccccc1OCC(O)COC(N)=O,1,241.243,2,1,6,91.01,-0.985,-1.428,0.5302000000000002,0.35294117647058826,0.0,0.0,0.0,0.0,0.0
butachlor,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,1,311.853,0,1,9,29.54,-4.19,-4.347,4.1574000000000035,0.2857142857142857,0.0,1.0,0.0,0.0,1.0
"2,3-Dichlorophenol",Oc1cccc(Cl)c1Cl,1,163.003,1,1,0,20.23,-1.3,-3.144,2.699,0.6666666666666666,0.0,2.0,0.0,0.0,2.0
Propyl butyrate,CCCC(=O)OC,1,102.133,0,0,2,26.3,-1.92,-1.191,0.9595,0.0,0.0,0.0,0.0,0.0,0.0
Propanil,CCC(=O)Nc1ccc(Cl)c(Cl)c1,1,218.083,1,1,2,29.1,-3.0,-3.644,3.3419000000000016,0.46153846153846156,0.0,2.0,0.0,0.0,2.0
Triamterene,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,1,253.269,3,3,1,129.62,-2.404,-3.051,0.8334000000000001,0.8421052631578947,0.0,0.0,0.0,0.0,0.0
Ethyl hexanoate,CCCCCC(=O)OCC,1,144.214,0,0,5,26.3,-2.35,-2.254,2.1298000000000004,0.0,0.0,0.0,0.0,0.0,0.0
chloralose,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,1,309.529,3,2,2,88.38,-1.84,-1.887,-0.46289999999999937,0.0,0.0,3.0,0.0,0.0,3.0
Amitraz,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,1,293.414,0,2,4,27.96,-5.47,-5.533,4.871880000000004,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
Prometon,COc1nc(NC(C)C)nc(NC(C)C)n1,1,225.296,2,1,5,71.96,-2.478,-3.448,1.5208,0.375,0.0,0.0,0.0,0.0,0.0
1-Octene ,CCCCCCC=C,1,112.216,0,0,5,0.0,-4.44,-3.073,3.142800000000002,0.0,0.0,0.0,0.0,0.0,0.0
p-Methylaniline ,Cc1ccc(N)cc1,1,107.156,1,1,0,26.02,-1.21,-1.954,1.5772199999999998,0.75,0.0,0.0,0.0,0.0,0.0
aminothiazole,Nc1nccs1 ,1,100.146,1,1,0,38.91,-0.36,-1.226,0.7253000000000001,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
Metolcarb,c1ccccc1(OC(=O)NC),1,151.165,1,1,1,38.33,-1.803,-1.947,1.4048,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
3-Hexanol,CCCC(O)CC,1,102.177,1,0,3,20.23,-0.8,-1.324,1.5574,0.0,0.0,0.0,0.0,0.0,0.0
9-anthrol,c3ccc2c(O)c1ccccc1cc2c3 ,1,194.233,1,3,0,20.23,-4.73,-4.148,3.6986000000000017,0.9333333333333333,0.0,0.0,0.0,0.0,0.0
2-Methylanthracene,Cc1ccc2cc3ccccc3cc2c1,1,192.261,0,3,0,0.0,-6.96,-4.87,4.301420000000002,0.9333333333333333,0.0,0.0,0.0,0.0,0.0
"1,2,3-Trimethylbenzene ",Cc1cccc(C)c1C,1,120.195,0,1,0,0.0,-3.2,-3.312,2.611860000000001,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
Aminocarb,CNC(=O)Oc1ccc(N(C)C)c(C)c1,1,208.261,1,1,2,41.57,-2.36,-2.677,1.77922,0.4,0.0,0.0,0.0,0.0,0.0
2-Nonanol,CCCCCCCC(C)O,1,144.258,1,0,6,20.23,-2.74,-2.387,2.727700000000002,0.0,0.0,0.0,0.0,0.0,0.0
Methyldymron,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,1,268.36,1,2,3,32.34,-3.35,-3.863,3.767700000000003,0.6,0.0,0.0,0.0,0.0,0.0
3-Hexanone,CCCC(=O)CC,1,100.161,0,0,3,17.07,-0.83,-1.266,1.7656,0.0,0.0,0.0,0.0,0.0,0.0
bromoxynil,Oc1c(Br)cc(C#N)cc1Br ,1,276.915,1,1,0,44.02,-3.33,-3.793,2.78888,0.5454545454545454,0.0,0.0,2.0,0.0,2.0
"3,4-PCB",Clc1ccc(cc1Cl)c2ccccc2 ,1,223.102,0,2,1,0.0,-6.39,-5.223,4.660400000000002,0.8571428571428571,0.0,2.0,0.0,0.0,2.0
Mefenacet,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,1,298.367,0,3,4,42.43,-4.873,-4.504,3.3381000000000016,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
5-hydroxyquinoline,Oc1cccc2ncccc12 ,1,145.161,1,2,0,33.12,-2.54,-2.725,1.9404,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
Carboxin,CC1=C(SCCO1)C(=O)Nc2ccccc2,1,235.308,1,2,2,38.33,-3.14,-2.927,2.620000000000001,0.375,0.0,0.0,0.0,0.0,0.0
Ethoxyzolamide,CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,1,258.324,1,2,3,82.28,-3.81,-3.085,1.3424,0.5625,0.0,0.0,0.0,0.0,0.0
Pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,266.338,1,1,0,20.23,-4.28,-4.835,4.6592,0.5,0.0,5.0,0.0,0.0,5.0
Bromochloromethane,ClCBr,1,129.384,0,0,0,0.0,-0.89,-1.519,1.5776,0.0,0.0,1.0,1.0,0.0,2.0
metharbital,CCC1(CC)C(=O)NC(=O)N(C)C1=O ,1,198.222,1,1,2,66.48,-2.23,-1.658,0.5009999999999999,0.0,0.0,0.0,0.0,0.0,0.0
deoxycorticosterone acetate,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,1,372.505,0,4,3,60.44,-4.63,-4.472,4.266700000000004,0.0,0.0,0.0,0.0,0.0,0.0
benzylurea,NC(=O)NCc1ccccc1 ,1,150.181,2,1,2,55.12,-0.95,-1.509,0.8548999999999998,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
Chlortoluron,CN(C)C(=O)Nc1ccc(C)c(Cl)c1,1,212.68,1,1,1,32.34,-3.483,-3.048,2.7419200000000012,0.42857142857142855,0.0,1.0,0.0,0.0,1.0
Linuron,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1,249.097,1,1,2,41.57,-3.592,-3.581,3.0185000000000013,0.4,0.0,2.0,0.0,0.0,2.0
Cycloheptanol,OC1CCCCCC1,1,114.188,1,1,0,20.23,-0.88,-1.7,1.7015,0.0,0.0,0.0,0.0,0.0,0.0
Thiamphenicol,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,1,356.227,3,1,6,103.7,-2.154,-1.936,0.40430000000000027,0.2857142857142857,0.0,2.0,0.0,0.0,2.0
thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,1,242.344,2,1,4,58.2,-3.36,-2.96,1.3498999999999999,0.0,0.0,0.0,0.0,0.0,0.0
acetazolamide,CC(=O)Nc1nnc(s1)S(N)(=O)=O ,1,222.251,2,1,2,115.04,-2.36,-0.793,-0.8561000000000003,0.38461538461538464,0.0,0.0,0.0,0.0,0.0
p-Nitrophenol,Oc1ccc(cc1)N(=O)=O,1,139.11,1,1,1,63.37,-0.74,-2.318,1.3003999999999998,0.6,0.0,0.0,0.0,0.0,0.0
Aldrin,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,1,364.914,0,4,0,0.0,-6.307,-5.511,5.270200000000002,0.0,0.0,6.0,0.0,0.0,6.0
Tetrahydrofurane ,C1CCOC1,2,72.107,0,1,0,9.23,0.49,-0.62,0.7968,0.0,0.0,0.0,0.0,0.0,0.0
o-Nitroaniline,Nc1ccccc1N(=O)=O,1,138.126,1,1,1,69.16,-1.96,-2.277,1.177,0.6,0.0,0.0,0.0,0.0,0.0
"2,2',3,3'-PCB",Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,1,291.992,0,2,1,0.0,-7.28,-6.079,5.967200000000002,0.75,0.0,4.0,0.0,0.0,4.0
phenylbutazone,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,1,308.381,0,3,5,40.62,-3.81,-4.076,3.7878000000000025,0.5217391304347826,0.0,0.0,0.0,0.0,0.0
"2,6-Dinitrotoluene",Cc1c(cccc1N(=O)=O)N(=O)=O,1,182.135,0,1,2,86.28,-3.0,-2.553,1.8114200000000005,0.46153846153846156,0.0,0.0,0.0,0.0,0.0
Progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,1,314.469,0,4,1,34.14,-4.42,-4.17,4.723500000000005,0.0,0.0,0.0,0.0,0.0,0.0
Chlorazine,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,1,257.769,0,1,6,45.15,-4.411,-3.663,2.2173999999999996,0.35294117647058826,0.0,1.0,0.0,0.0,1.0
captafol,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,1,349.066,0,2,3,37.38,-5.4,-4.365,3.520900000000001,0.0,0.0,4.0,0.0,0.0,4.0
"1,2,4-tribromobenzene",c1(Br)c(Br)cc(Br)cc1,1,314.802,0,1,0,0.0,-4.5,-5.144,3.974100000000001,0.6666666666666666,0.0,0.0,3.0,0.0,3.0
Oxazepam,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,1,286.718,2,3,1,61.69,-3.952,-3.517,2.4478999999999997,0.6,0.0,1.0,0.0,0.0,1.0
Secobarbital,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,1,238.287,2,1,5,75.27,-2.356,-2.415,1.3510999999999993,0.0,0.0,0.0,0.0,0.0,0.0
Carvacrol,c1(O)c(C)ccc(C(C)C)c1,1,150.221,1,1,1,20.23,-2.08,-3.224,2.824020000000001,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
rhodanine,C1SC(=S)NC1(=O),1,133.197,1,1,0,29.1,-1.77,-0.396,0.13429999999999997,0.0,0.0,0.0,0.0,0.0,0.0
Morin,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,1,302.238,5,3,1,131.36,-3.083,-2.731,1.9879999999999995,0.7272727272727273,0.0,0.0,0.0,0.0,0.0
Kepone,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,1,490.639,0,6,0,17.07,-5.259,-5.112,4.6182,0.0,0.0,10.0,0.0,0.0,10.0
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,1,296.552,0,0,4,6.48,-4.86,-3.862,3.6212000000000026,0.0,0.0,0.0,0.0,0.0,0.0
Cyclohexane,C1CCCCC1,2,84.162,0,1,0,0.0,-3.1,-2.477,2.3406000000000002,0.0,0.0,0.0,0.0,0.0,0.0
Dienochlor,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,1,474.64,0,2,1,0.0,-7.278,-7.848,7.725599999999999,0.0,0.0,10.0,0.0,0.0,10.0
chlordimeform,CN(C)C=Nc1ccc(Cl)cc1C,1,196.681,0,1,2,15.6,-2.86,-3.164,2.8698200000000007,0.46153846153846156,0.0,1.0,0.0,0.0,1.0
Equilenin,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,1,266.34,1,4,0,37.3,-5.24,-3.927,3.9444000000000026,0.5,0.0,0.0,0.0,0.0,0.0
1-Octanol,CCCCCCCCO,1,130.231,1,0,6,20.23,-2.39,-2.105,2.3392000000000013,0.0,0.0,0.0,0.0,0.0,0.0
Diethyl sulfide,CCSCC,1,90.191,0,0,2,0.0,-1.34,-1.598,1.7593999999999999,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Dichloroethane",ClCCCl,1,98.96,0,0,1,0.0,-1.06,-1.374,1.464,0.0,0.0,2.0,0.0,0.0,2.0
2-Chloro-2-methylbutane,CCC(C)(C)Cl,1,106.596,0,0,1,0.0,-2.51,-2.278,2.4138,0.0,0.0,1.0,0.0,0.0,1.0
1-Chloro-2-bromoethane,ClCCBr,1,143.411,0,0,1,0.0,-1.32,-1.738,1.6200999999999999,0.0,0.0,1.0,1.0,0.0,2.0
p-Nitroaniline,Nc1ccc(cc1)N(=O)=O,1,138.126,1,1,1,69.16,-2.37,-1.936,1.177,0.6,0.0,0.0,0.0,0.0,0.0
Lactose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,1,342.297,8,2,4,189.53,-0.244,1.071,-5.397199999999993,0.0,0.0,0.0,0.0,0.0,0.0
RTI 2,CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,1,268.32,0,3,2,49.33,-2.86,-3.125,2.614700000000001,0.6,0.0,0.0,0.0,0.0,0.0
Chlorobenzene,Clc1ccccc1,1,112.559,0,1,0,0.0,-2.38,-2.975,2.34,0.8571428571428571,0.0,1.0,0.0,0.0,1.0
1-Nonene ,CCCCCCCC=C,1,126.243,0,0,6,0.0,-5.05,-3.427,3.5329000000000024,0.0,0.0,0.0,0.0,0.0,0.0
p-Bromoiodobenzene,Brc1ccc(I)cc1,1,282.906,0,1,0,0.0,-4.56,-4.754,3.053700000000001,0.75,0.0,0.0,1.0,1.0,2.0
3-Methyl-3-pentanol,CCC(C)(O)CC,1,102.177,1,0,2,20.23,-0.36,-1.308,1.5574,0.0,0.0,0.0,0.0,0.0,0.0
